class,text,davidson,hateval,ethos,jigsaw,qian
0,Lmao chill spook You think you Better than niggas cause you in Miami you ber colored Faggot,0.80815995,0.36015618,0.07777463,0.9972602,0.99490356
0,chris brown is trash,0.003685926,0.040047813,0.01782584,0.91089153,0.0031597083
0,Having sex with a guy wont keep him around for you dumb hoes who think that Theres plenty pussy Just gotta have a guy who wont give in,0.0025828173,0.9276588,0.012692157,0.9909697,0.9412687
0,You see me shining on yo bitch ass,0.0020307803,0.8422891,0.009289466,0.089468665,0.6641987
0,Bum bitch won t even my type,0.0019483522,0.9808106,0.06411449,0.16996238,0.24006444
0,He said capri sun and zebra cake,0.0026136977,0.0024898895,0.010127934,0.0022635509,0.097061954
0,Omgggggggggg Mila Kunis is so fing hot F Sarah Marshall She s like a bird anorexic,0.0048644464,0.7852504,0.00821266,0.8767074,0.039408673
0,When u see that bitch in 5 months like yea im having a boy bitch u was twerking on dicc on vday,0.0024942139,0.8289697,0.009207461,0.05834223,0.0048128627
0,His hair so cute wit his sessy face but his ex bitch liked that picture to shit like fucc it,0.0023184414,0.88591266,0.00732211,0.77142626,0.048985034
0,Only retards and dads roll Lawful Good,0.15353818,0.36655948,0.09363539,0.29999545,0.9972475
0,Blow up the pussy like Hussein Bitch look at me crazy like who s sane,0.00252459,0.9943949,0.02908319,0.7611622,0.9911212
0,Colombia supporter reminds us the double bird is a universal language,0.028922943,0.36328804,0.130723,0.90007526,0.0015741049
0,Idk if is really a man but she surely is a trash rapper,0.0021094768,0.98259985,0.003205229,0.010981002,0.0872336
0,bitches needa take notes,0.0016633921,0.997609,0.042372584,0.5444193,0.025175719
0,Probably going to tackle Kenzie when I see her tbh I miss my bitch,0.0016350214,0.9553951,0.0010502741,0.00065425376,0.0029430478
0,Wilson a hoe he said that shit 2 years ago,0.0034855402,0.14281227,0.038686424,0.10627071,0.71617144
0,Son We the sammich family out this bitch She KNOW Joey love sammiches,0.00386899,0.9425461,0.10301134,0.97208136,0.15634745
0,why did the fins sign finnegan hes a certified bitch,0.0035091946,0.24402194,0.05223592,0.08916809,0.01958366
0,US ghettos driven by lib ideology forged by unions bankrupted by self serving Ds catering 2parasites,0.2684523,0.6338817,0.59469247,0.9953194,0.83323115
0,Before the madness with my single bitches,0.0018703948,0.93599343,0.0064958422,0.0010229464,0.004625705
0,tell me this nigga ain t purple then a bitch nigga not black,0.21833178,0.98234427,0.016879188,0.9978265,0.99632627
0,that would be a joint then retard,0.09559785,0.6745313,0.009427188,0.00095814525,0.9956583
0,Dudes proudly volunteer to be baby daddy and 5 Whether they ll be a father or not all over some pussy property,0.0027537555,0.52118653,0.17963694,0.26368096,0.7730225
0,all i wanted was a hundred million dollars and a bad bitch,0.0020984865,0.96543103,0.015146178,0.0014027809,0.001320042
