class,text,davidson,hateval,ethos,jigsaw,qian
0,Trans people gays and loosers,0.9225081,0.040323142,0.37137604,0.9974113,0.005846883
0,Transgenderism is a DISEASE Transgenders are an abomination Not only that but they re also lying to themselves You CANNOT change your DNA from male to female or from female to male There are only TWO genders and you are either born MALE or FEMALE because that s how GOD created you And you cannot change that no matter how many surgeries drugs hormones and no matter how much therapy one has FACT,0.6917155,0.92944694,0.041675236,0.94598085,0.5255685
0,Ugly white girls and white dudes would not get away with that,0.95770806,0.9839289,0.051689044,0.9967282,0.9132451
0,Women are our property The sooner they realize that the better,0.4721228,0.99334574,0.0011686684,0.0011035989,0.0013993792
0,You should be so meaner to dyslexic people,0.2784159,0.7401726,0.0037523434,0.0842196,0.0012725423
0,Ugly long chin brainless problematic mother fucker he looks retarded,0.94978225,0.36328578,0.17293942,0.993995,0.9974033
0,Men can see beauty so they don t want to sleep with black women or make goblin babies,0.8123617,0.8869513,0.08171443,0.9580967,0.02137139
0,I feel uncomfortable when I m in the same room with an abnormal disabled person,0.019853761,0.0050750696,0.0013502345,0.0006130288,0.0012358775
0,Weak beta male hope he turns into a tranny after this traumatic experience haha,0.20392016,0.016598953,0.007909211,0.95404035,0.41994613
0,You look magically retarded,0.36383978,0.15234442,0.003248578,0.002841319,0.9911378
0,You are so lucky you have a girlfriend I bet your asian penis is smaller than my thumb,0.0024125413,0.9883918,0.0013795499,0.3175895,0.0013679634
0,Yo nigga go back to Asia,0.039582044,0.52832717,0.0012493671,0.99793303,0.9951741
0,Why aren t Europe evicting those bastards ruining our civilization,0.8474737,0.9894132,0.04597254,0.62798196,0.0019822593
0,Too bad women don t know how to kill themselves,0.012725506,0.98943686,0.0060500707,0.9154513,0.002568248
0,their dark coloured race doesn t mean shit,0.44944984,0.7430479,0.003680722,0.04462037,0.22816437
0,The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN The best way to kill feminism and feminists is to IGNORE THEM then watch how they ll resort to the only weapon they have their pussies The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO scandals What would make HEADLINE NEWS Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife What would make HEADLINE NEWS A woman having sex with a married man whom she knew was married Or A married man cheating on his wife,0.48279828,0.99140364,0.085644916,0.9922592,0.98187435
0,the first step is to remove Romanians they re no good anywhere they wash up,0.049255423,0.9116662,0.01932318,0.002656022,0.0014621872
0,That Asian bloke needs a shave or cover up his hideous beard with a burqa,0.31313035,0.65937,0.115042366,0.81408465,0.006720748
0,Stupid feminists For FUCK sake Just Just fucking kill yourself,0.091606475,0.9806933,0.082294255,0.9850252,0.8700542
0,smack the fat ass out of her,0.011924183,0.9871923,0.059764408,0.0018011043,0.07905608
0,Shemales are paranormal creatures We shouldn t let them be free Neither be captured Just dead and buried already,0.15582737,0.9925063,0.0038079259,0.0025230101,0.004510842
0,Racist ass white ass people,0.9679502,0.80284494,0.5326528,0.9972161,0.840103
0,Please don come back filthy Caucasian You can change to a snake next time Keep changing,0.030351467,0.98861396,0.0011613254,0.06398559,0.0016516517
0,Pakistan is a Jihadi Terror Sponsor Nation they are simply deceiving the world a sign of desperation Jai Hind,0.053425487,0.9477551,0.2731662,0.9100027,0.0284742
0,Only a fag doesn t want to see two chicks do it you don t want your son to grow up to be a fag right,0.94249016,0.955695,0.03700643,0.9905308,0.991861
0,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,0.00546853,0.97460866,0.030647915,0.92182493,0.0056420797
0,Looks like the gay poster boy with syphilis,0.52203953,0.2336074,0.036812488,0.9723555,0.001520363
0,Lmfao that fat slob in the wheelchair,0.007966764,0.28917333,0.025185796,0.94914126,0.12702128
0,kneel down white boy its the era of brown people now,0.7338674,0.51198345,0.0252977,0.15855536,0.014279061
0,Kill all muslims,0.48602632,0.81186426,0.3847291,0.99573696,0.0042452402
0,it takes a fat black bitch to say something super stupid,0.0058562704,0.9933734,0.020571092,0.86512434,0.2724233
0,Islam Lets beat their feminist ass,0.23795052,0.9397275,0.43935332,0.9970843,0.34625053
0,Islam is a horrible religion and does no good for society as a whole Horrible Horrible Horrible,0.3760029,0.8648146,0.36150438,0.9921778,0.0056538787
0,Is this world filled by those stupid female bitches,0.006775233,0.99642026,0.008430594,0.7114639,0.047137514
0,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,0.0026576335,0.9928514,0.0078124464,0.49565345,0.0017357821
0,If you are from Germany I will call you Nazi or Hitler Then ill protest to hang you,0.25047177,0.87996906,0.0055853208,0.3840058,0.0019267144
0,If only he was black He would be literally be behind bars faster than you can even imagine,0.024183843,0.62706167,0.00071044517,0.065945305,0.0016086908
0,I wonder why they didn throw the fire booms in that cult when those Muslims were inside That would have been one hell of a BBQ,0.007725607,0.97121483,0.015281918,0.37305936,0.0034779762
0,I wish HIV to your butthole male whore,0.65533155,0.7073898,0.13028453,0.9552389,0.77093613
0,I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK,0.005906918,0.9874879,0.026710473,0.9107745,0.08295217
0,I really don t like your accent I don t want to call support and call to rats like you I want a cute lady with British accent to answer my call You are third world pieces with no job to this planet,0.26716766,0.81776845,0.0017719142,0.05971987,0.001322154
0,I love watching this cross believers get killed in their god s place Ha ha,0.030248277,0.72879803,0.0054886527,0.12163952,0.0041455193
0,I love deaf people I can scream on them and I can scold them,0.08136672,0.1575063,0.0026946596,0.18139632,0.0018761044
0,i like dead refugees on my shore,0.28672588,0.8330449,0.003629428,0.9509195,0.0018455769
0,i don t blame texas trans should be looked down upon,0.013429127,0.19738463,0.002196328,0.13875203,0.00204121
0,I can spot a hitler in your blood Aren t you a German dude,0.014384654,0.1848557,0.0017225416,0.42441806,0.0055350387
0,He is right Islam is indeed very pissful,0.018224316,0.052820776,0.005623688,0.754416,0.0033182933
0,Hating this church Was a catholic one right Very happy to see it burn to dust,0.005143685,0.16970845,0.008661483,0.4892043,0.0036019888
0,hahahahahahahahaha europ fuck you fucking nazis,0.92300236,0.016109576,0.009891206,0.9739905,0.03767157
0,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE GO FUCK EACH OTHER LET US BE,0.0052454886,0.97411996,0.007942392,0.98443747,0.01743889
0,FUCKING NIGGER GO BACK TO AFRICA,0.010492561,0.97931415,0.05865162,0.99632806,0.9968348
0,Fucking Canada stupid I think the cold shrinks their brains,0.036104873,0.3615051,0.024019469,0.8498615,0.046973705
0,Fuck this faggot He s the disrespecting idiot brother in law that loves to start fights at family functions You can t have conversations with assholes like him,0.9498994,0.28720278,0.10580544,0.9964478,0.9955577
0,Fuck Sweden Let it die like the degenerates they are,0.94021285,0.9757061,0.09839318,0.9927765,0.9072713
0,Fck serbije kill them all,0.01872588,0.72659653,0.022792596,0.27023885,0.024248373
0,fat bitch she need that black cucumber up her tight u know what lmfaooo,0.017249892,0.9921314,0.011553918,0.87641174,0.40241918
0,Down syndrome Problematic people must be dead,0.028973507,0.040990368,0.02292583,0.0010494476,0.0014439368
0,Don t live where you re not wanted Deport Jews and Muslims,0.6781688,0.9372694,0.012192606,0.9961008,0.0032928232
0,Do lesbians know what a bra is It s always the fat ugly ones who pick a fight,0.0048459913,0.99225676,0.049741525,0.9810066,0.17580101
0,Disabled kids are annoying and not cute,0.54319507,0.093928866,0.027210569,0.74421763,0.0028917126
0,deport these cunt asians,0.9152587,0.8573918,0.046881143,0.99224454,0.9951343
0,Dalit Is this a name of religion or an atom of poo composition,0.08263579,0.1429227,0.11849075,0.27574855,0.055799685
0,Crazy fat religious bitch Get out of your brothel church and I will saw you what your christianity is You ll meet your christ to heavens and hells,0.49701557,0.9791378,0.23116918,0.99609476,0.99544096
0,Christians can get crazy religious and I get so f u c k i n g annoyed,0.042030152,0.07263588,0.045233116,0.99509805,0.0065525924
0,Chinky filthy guy get out of US Get out of our land,0.58783877,0.9952571,0.033471096,0.9875307,0.7158384
0,Bulgars are Indo Europeans Turks are not you ignorant pakisven Bulgaria ruled half of Europe before Turkey even existed and we deported all of our Turks meanwhile you made them your rulers Sven is a fake german country ruled by arabs,0.956946,0.9917,0.38377678,0.99759185,0.6157746
0,Black people are the most racist people I ever met I m not even white and I know this Most blacks are racists,0.96743304,0.4124629,0.10051459,0.99733704,0.0022797035
0,Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads,0.19593644,0.93211424,0.0018635322,0.71480066,0.2136929
0,Beat that tranny s ass,0.06035503,0.8654476,0.0901775,0.99251854,0.9908716
0,Aren t you ashamed about your body colour,0.0032856176,0.28779757,0.0013338615,0.004536521,0.0012764181
0,Are you mentally handicapped or this is your normal form Both ways kill yourself please,0.061552487,0.48179492,0.0025294505,0.00074939005,0.0015386041
0,apparently east Asians commit less crime than us well this is because they are submissive conformist losers WHITE POWER,0.93371755,0.9848284,0.05728535,0.99310255,0.0130457
0,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death,0.95724416,0.5307791,0.29114625,0.92708355,0.0028470287
0,All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,0.48043317,0.037183497,0.0026254747,0.8159365,0.008999146
0,After traumatic brain injury turned gay I don t know which is worst Suicide is the way,0.007392754,0.0059194136,0.0009769725,0.006347463,0.0017971959
0,Abortion is a solution for autism,0.055143483,0.0043831877,0.021396728,0.0023005588,0.0013641409
0,A solution to the U S illegal immigrant problem is to round up the million or so take them to the Mexican border regardless of what country they re from and send them into Mexico Maybe then when the Mexican border is over run with immigrants will Mexico understand and help pay for a wall,0.15909812,0.9790069,0.005345425,0.034805976,0.0025913604
0,With no legs you are just a bag of meat in your household Do them the favour and get dead already,0.111028954,0.9382249,0.015932096,0.938278,0.013817621
0,Those black people are fucking pale,0.95481735,0.9354984,0.13666432,0.99771416,0.36616027
0,This channel is more dangerous than Islam,0.0030113554,0.8575147,0.0021184918,0.0011027157,0.0012559257
0,Roses are red Your sweatshirt is blue When a white girl gets raped the suspect for sure is you,0.09091084,0.7700676,0.026827993,0.83951294,0.0018932555
0,why the hell is this Norwegian speaking about our LAWS SPEAK FOR YOUR OWN Scandinavian scam,0.04987472,0.75159127,0.013831118,0.53667265,0.0068785935
0,Why don t they just use handicapped restrooms for the mentally challenged Problem solved,0.0051225577,0.7699217,0.01471772,0.0008980322,0.0013514296
0,When you came into my country you knew you are going to be slave and work building shits So shut up and take it cause otherwise am going to end you and get you out of here sand shit,0.3414976,0.9922283,0.008330128,0.8890677,0.029654603
0,When I see men running with those plastic legs I laugh my ass out so hard I fart some times,0.0029333474,0.012670575,0.0076406035,0.00071727886,0.0020449143
0,Well France is finally a shithole This is what happens when you do open borders now both sides are suffering,0.022949705,0.8732182,0.0027793506,0.06547302,0.0014098604
0,We have to take our power back as the superior gender,0.19534895,0.94765085,0.0048922026,0.0007740508,0.0012564248
0,Try to talk to me about your senseless inane god and you will meet him again as soon as possible thanks to my hand bitch,0.013131229,0.017979154,0.0005740534,0.0056284205,0.0014768977
0,Those deaf people are like rats in dark places They wouldn t survive a day in post apocalypse event for sure I would kick em off to stole their supplies,0.5041347,0.98015714,0.018053316,0.91115236,0.03964634
0,This muslim with his pumped up hood better run better run faster than my bullet,0.0050155977,0.2577153,0.02277128,0.007033095,0.0033450634
0,This is what happens when you re a bitch and a cunt Looks like that guy called it correctly Only a bitch and a cunt would think she could lay hands on another with no repercussions Maybe after that seizure she won t be as much of a bitchy cunt,0.5612586,0.9756351,0.027439242,0.029232739,0.98901373
0,This is S I C K If I ever seen a Girlyman like him go into the same lavatory as my wife or daughter somebody better call the EMTs because the ONLY way SheHe is coming out will be on a Stretcher or in a body bag Just sayin,0.011997512,0.5004842,0.0014018227,0.00094781816,0.0025283787
0,The Whites Have dislike the documentary because they are mad at the truth,0.69018936,0.43020588,0.012229703,0.8558835,0.0018623351
0,That s what we should do here in a Us survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they re dressed their well dressed well fed it s like a trojan horse and it s time we put them in the penal camps and get rid of them make use of the FEMA camp,0.63530004,0.9818017,0.006933127,0.062593296,0.042460453
0,That skin colour is the funniest one in combination with your eyes is perfect stupid,0.0031518722,0.13569167,0.0009811845,0.0014079162,0.0015832072
0,Sorry unlike Germany I do not incinerate the mentally disabled,0.16107926,0.7395146,0.0093497615,0.010969742,0.001405883
0,One needs to do a Pareto Analysis 90 95 of global terrorists belong to a single religion that represents 25 of the global population 1 25 billion in a 8 billion global population To say that terrorism has no religion and colour is the biggest bluff in the world If Islam was such a peaceful religion then why are refugees from Islamic countries seek non Muslim countries for settlement it is because they want to Islamise the world,0.531938,0.5050008,0.025170172,0.3851647,0.0018467306
